id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JQ7FPSTXEW168S45DJBJYK23,,,01JQ7FPSREM7TERF6Z11SWM0Z5,2025-03-25T16:25:37.373683-04:00,false,2025-03-25T16:25:37.373683-04:00,,,01JQ7FPSVK9XBGZVHP81W410XM,2025-03-25T16:25:37.3981-04:00,,,,,,,false,2025-03-25T16:25:37.373683-04:00,,,,,"{""playerCount"":2}",2025-03-25T16:25:37.373683-04:00,Two Players,2025-03-25T16:25:37.373683-04:00
01JQ7FQ2PEP32XPZ2GZT60EAX1,2,2025-03-25T16:28:19.630453-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:25:46.446135-04:00,true,2025-03-25T16:33:49.220965-04:00,end of game,2025-03-25T16:33:49.27356-04:00,01JQ7FQ2Q95TEM1CE7KD7R8PD5,2025-03-25T16:25:46.478667-04:00,01JQ7FVNEN008PYMVJYGNZK25X,2025-03-25T16:28:16.739368-04:00,7,2025-03-25T16:28:19.674713-04:00,null,2025-03-25T16:33:49.220965-04:00,true,2025-03-25T16:28:19.630453-04:00,true,2025-03-25T16:28:19.630453-04:00,ended,2025-03-25T16:33:49.27356-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T16:25:46.446135-04:00,chat,2025-03-25T16:25:46.446135-04:00
01JQ79XPFX87YKRPHCRC8PANME,2,2025-03-25T14:44:50.449807-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:31.869622-04:00,true,2025-03-25T14:45:10.607935-04:00,end of game,2025-03-25T14:45:10.622981-04:00,01JQ79XPGTKWAXWHECNA2EP3VZ,2025-03-25T14:44:31.902943-04:00,01JQ79Y6YMEDQ18PWG6ZP2MQVF,2025-03-25T14:44:48.740253-04:00,3,2025-03-25T14:44:50.484196-04:00,null,2025-03-25T14:45:10.607935-04:00,true,2025-03-25T14:44:50.449807-04:00,true,2025-03-25T14:44:50.449807-04:00,ended,2025-03-25T14:45:10.622981-04:00,"{""playerCount"":2}",2025-03-25T14:44:31.869622-04:00,Two Players,2025-03-25T14:44:31.869622-04:00
01JQ7A0HH9Y8FJE56XT0N6YBKG,2,2025-03-25T14:46:23.622816-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:05.097542-04:00,true,2025-03-25T14:47:01.437726-04:00,end of game,2025-03-25T14:47:01.447903-04:00,01JQ7A0HJE2G8TYTAR762P815W,2025-03-25T14:46:05.136949-04:00,01JQ7A124KT9W9XSECFWN34DMY,2025-03-25T14:46:22.103538-04:00,7,2025-03-25T14:46:23.674333-04:00,null,2025-03-25T14:47:01.437726-04:00,true,2025-03-25T14:46:23.622816-04:00,true,2025-03-25T14:46:23.622816-04:00,ended,2025-03-25T14:47:01.447903-04:00,"{""playerCount"":2}",2025-03-25T14:46:05.097542-04:00,Two Players,2025-03-25T14:46:05.097542-04:00
01JQ7BTTJQ4XSVZYVHZS1KYSFX,2,2025-03-25T15:18:25.792463-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:17:54.903271-04:00,true,2025-03-25T15:23:07.714131-04:00,batch ended,2025-03-25T15:23:07.558142-04:00,01JQ7BTTKGD5YRYH2GK62WCYZX,2025-03-25T15:17:54.931237-04:00,01JQ7BVQ63DHDSZ3KEYCYRKDVM,2025-03-25T15:18:24.206436-04:00,7,2025-03-25T15:18:25.831947-04:00,null,2025-03-25T15:23:07.714131-04:00,true,2025-03-25T15:18:25.792463-04:00,true,2025-03-25T15:18:25.792463-04:00,terminated,2025-03-25T15:23:07.558142-04:00,"{""playerCount"":2}",2025-03-25T15:17:54.903271-04:00,Two Players,2025-03-25T15:17:54.903271-04:00
01JQ7C4D0T9323SFDP4WJC45RT,,,01JQ7C4D0HR62929GJB7SVZ1ME,2025-03-25T15:23:08.698303-04:00,false,2025-03-25T15:23:08.698303-04:00,,,01JQ7C4D196FTQ0SAQAKV3DE5B,2025-03-25T15:23:08.715304-04:00,,,,,,,false,2025-03-25T15:23:08.698303-04:00,,,,,"{""playerCount"":2}",2025-03-25T15:23:08.698303-04:00,Two Players,2025-03-25T15:23:08.698303-04:00
01JQ7CAPABJM6AHEKSW4MBVQFS,2,2025-03-25T15:26:55.497303-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:34.827818-04:00,true,2025-03-25T15:29:48.17232-04:00,end of game,2025-03-25T15:29:48.190073-04:00,01JQ7CAPBBTXRS0AGGKW3BC0FN,2025-03-25T15:26:34.86403-04:00,01JQ7CB92KSA808EZ378XWWA99,2025-03-25T15:26:54.042806-04:00,7,2025-03-25T15:26:55.538977-04:00,null,2025-03-25T15:29:48.17232-04:00,true,2025-03-25T15:26:55.497303-04:00,true,2025-03-25T15:26:55.497303-04:00,ended,2025-03-25T15:29:48.190073-04:00,"{""playerCount"":2,""useChat"":""yes""}",2025-03-25T15:26:34.827818-04:00,chat,2025-03-25T15:26:34.827818-04:00
