id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JQ7BTTHVBN8JNB2D20AFDYKY,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-03-25T15:17:54.877428-04:00,,,true,2025-03-25T15:17:54.903506-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T15:17:54.877428-04:00,terminated,2025-03-25T15:23:07.543943-04:00
01JQ7C4D0HR62929GJB7SVZ1ME,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-03-25T15:23:08.689212-04:00,,,true,2025-03-25T15:23:08.698094-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T15:23:08.689212-04:00,created,2025-03-25T15:23:08.689212-04:00
01JQ7CAP9F5RDSTVZFFXT8M33J,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""chat"",""factors"":{""playerCount"":2,""useChat"":""yes""}},""count"":1}]}}",2025-03-25T15:26:34.799571-04:00,all games finished,2025-03-25T15:29:48.196008-04:00,true,2025-03-25T15:26:34.828279-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T15:26:34.799571-04:00,ended,2025-03-25T15:29:48.196008-04:00
01JQ7FPSREM7TERF6Z11SWM0Z5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-03-25T16:25:37.295587-04:00,,,true,2025-03-25T16:25:37.374065-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T16:25:37.295587-04:00,created,2025-03-25T16:25:37.295587-04:00
01JQ7FQ2NW8TBJBD4E8V3J20KM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""chat"",""factors"":{""playerCount"":2,""useChat"":""yes""}},""count"":1}]}}",2025-03-25T16:25:46.428797-04:00,all games finished,2025-03-25T16:33:49.291505-04:00,true,2025-03-25T16:25:46.44572-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T16:25:46.428797-04:00,ended,2025-03-25T16:33:49.291505-04:00
01JQ79XPF0N0KBE52WAZ8EFWQ1,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-03-25T14:44:31.840773-04:00,all games finished,2025-03-25T14:45:10.628221-04:00,true,2025-03-25T14:44:31.869892-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T14:44:31.840773-04:00,ended,2025-03-25T14:45:10.628221-04:00
01JQ7A0HGKSWHCF12W9Z0CH5GR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""playerCount"":2}},""count"":1}]}}",2025-03-25T14:46:05.076175-04:00,all games finished,2025-03-25T14:47:01.455401-04:00,true,2025-03-25T14:46:05.100392-04:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-03-25T14:46:05.076175-04:00,ended,2025-03-25T14:47:01.455401-04:00
