id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JQ7FVRCASQNY4QBRAHDGSJ9P,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.722635-04:00,120,2025-03-25T16:28:19.722635-04:00,true,2025-03-25T16:33:22.47583-04:00,,,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.722635-04:00,0,2025-03-25T16:28:19.722635-04:00,true,2025-03-25T16:33:15.67014-04:00,Answer,2025-03-25T16:28:19.722635-04:00,01JQ7FVRAPN0ASDDR638P82F2M,2025-03-25T16:28:19.722635-04:00,true,2025-03-25T16:33:15.601129-04:00,true,2025-03-25T16:33:15.687595-04:00,,,01JQ7FVRC7M38V60SSZT9VMWEM,2025-03-25T16:28:19.722635-04:00
01JQ7FVRD8RTBJZ8H13P9XREE2,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.752878-04:00,120,2025-03-25T16:28:19.752878-04:00,true,2025-03-25T16:33:29.339885-04:00,,,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.752878-04:00,0,2025-03-25T16:28:19.752878-04:00,true,2025-03-25T16:33:22.658001-04:00,Answer,2025-03-25T16:28:19.752878-04:00,01JQ7FVRAQBTPVG98JWX0MF2HZ,2025-03-25T16:28:19.752878-04:00,true,2025-03-25T16:33:22.638248-04:00,true,2025-03-25T16:33:22.677997-04:00,,,01JQ7FVRD1JBHMTXVBYRXNFGFV,2025-03-25T16:28:19.752878-04:00
01JQ79Y8NXKMP9K4MQ4QXW56KY,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.49326-04:00,30000,2025-03-25T14:44:50.49326-04:00,true,2025-03-25T14:44:56.076187-04:00,,,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.49326-04:00,0,2025-03-25T14:44:50.49326-04:00,true,2025-03-25T14:44:50.673804-04:00,Answer,2025-03-25T14:44:50.49326-04:00,01JQ79Y8NFMAQ3WSS01AKNRG97,2025-03-25T14:44:50.49326-04:00,true,2025-03-25T14:44:50.657724-04:00,true,2025-03-25T14:44:50.67928-04:00,,,01JQ79Y8NTWY9TYGE86SJWESK2,2025-03-25T14:44:50.49326-04:00
01JQ7A13PVRD0JNH18TSDKDTK9,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.707223-04:00,30000,2025-03-25T14:46:23.707223-04:00,true,2025-03-25T14:46:46.376052-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.707223-04:00,0,2025-03-25T14:46:23.707223-04:00,true,2025-03-25T14:46:42.386896-04:00,Answer,2025-03-25T14:46:23.707223-04:00,01JQ7A13NNXDDMY0VT01NFZY9J,2025-03-25T14:46:23.707223-04:00,true,2025-03-25T14:46:42.370021-04:00,true,2025-03-25T14:46:42.395402-04:00,,,01JQ7A13PSXAFAV8597QEBNKA5,2025-03-25T14:46:23.707223-04:00
01JQ7BVRTWM0M70X9N3NCQECV9,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.884053-04:00,120,2025-03-25T15:18:25.884053-04:00,true,2025-03-25T15:23:07.69258-04:00,batch ended,2025-03-25T15:23:07.558142-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.884053-04:00,0,2025-03-25T15:18:25.884053-04:00,true,2025-03-25T15:22:26.338624-04:00,Answer,2025-03-25T15:18:25.884053-04:00,01JQ7BVRRZ7T7HJB2Y8VRB0MX5,2025-03-25T15:18:25.884053-04:00,true,2025-03-25T15:22:26.326115-04:00,true,2025-03-25T15:22:26.35252-04:00,ended,2025-03-25T15:23:07.558142-04:00,01JQ7BVRTRTKYXEBW1GX3NWBPP,2025-03-25T15:18:25.884053-04:00
01JQ7BVRV3ZRHKHHDGBTBPXS1T,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.891107-04:00,120,2025-03-25T15:18:25.891107-04:00,false,2025-03-25T15:18:25.891107-04:00,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.891107-04:00,0,2025-03-25T15:18:25.891107-04:00,,,Answer,2025-03-25T15:18:25.891107-04:00,01JQ7BVRS08XA8HDQJ6BSACMWY,2025-03-25T15:18:25.891107-04:00,false,2025-03-25T15:18:25.891107-04:00,,,,,01JQ7BVRV004HSP1CWZEFZAP80,2025-03-25T15:18:25.891107-04:00
01JQ7BVRVP61QKQY06CW81M49C,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.91018-04:00,120,2025-03-25T15:18:25.91018-04:00,false,2025-03-25T15:18:25.91018-04:00,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.91018-04:00,0,2025-03-25T15:18:25.91018-04:00,,,Answer,2025-03-25T15:18:25.91018-04:00,01JQ7BVRS7M1YC4FRN4EY4PYKX,2025-03-25T15:18:25.91018-04:00,false,2025-03-25T15:18:25.91018-04:00,,,,,01JQ7BVRVMFD1DP3NA56P7PGTQ,2025-03-25T15:18:25.91018-04:00
01JQ7CBAJSCRHKV68SJ0JVFFHB,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.577091-04:00,120,2025-03-25T15:26:55.577091-04:00,true,2025-03-25T15:29:27.536764-04:00,,,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.577091-04:00,0,2025-03-25T15:26:55.577091-04:00,true,2025-03-25T15:29:22.890025-04:00,Answer,2025-03-25T15:26:55.577091-04:00,01JQ7CBAHHYQ7YM74AZHX4BQCX,2025-03-25T15:26:55.577091-04:00,true,2025-03-25T15:29:22.873489-04:00,true,2025-03-25T15:29:22.905071-04:00,,,01JQ7CBAJPFXJK4XBYPFJJ166Q,2025-03-25T15:26:55.577091-04:00
01JQ7CBAK5Q03FXW5DN869N0Y0,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.589252-04:00,120,2025-03-25T15:26:55.589252-04:00,true,2025-03-25T15:29:37.437772-04:00,,,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.589252-04:00,0,2025-03-25T15:26:55.589252-04:00,true,2025-03-25T15:29:32.728797-04:00,Answer,2025-03-25T15:26:55.589252-04:00,01JQ7CBAHG4HS2G881DBBBGRDE,2025-03-25T15:26:55.589252-04:00,true,2025-03-25T15:29:32.711055-04:00,true,2025-03-25T15:29:32.741439-04:00,,,01JQ7CBAK33Y0YHT8F31QHWZVP,2025-03-25T15:26:55.589252-04:00
01JQ7A13PFGGTK9D5JGQH47HDZ,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.695327-04:00,30000,2025-03-25T14:46:23.695327-04:00,true,2025-03-25T14:46:37.976461-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.695327-04:00,0,2025-03-25T14:46:23.695327-04:00,true,2025-03-25T14:46:33.457748-04:00,Answer,2025-03-25T14:46:23.695327-04:00,01JQ7A13NMT5K3GGBH3NMR3C2F,2025-03-25T14:46:23.695327-04:00,true,2025-03-25T14:46:33.438352-04:00,true,2025-03-25T14:46:33.471279-04:00,,,01JQ7A13PDYV373G6XXY2T10B1,2025-03-25T14:46:23.695327-04:00
01JQ7A13Q79PHY2ZRGAHGK8W5W,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.719306-04:00,30000,2025-03-25T14:46:23.719306-04:00,true,2025-03-25T14:46:56.771844-04:00,,,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.719306-04:00,0,2025-03-25T14:46:23.719306-04:00,true,2025-03-25T14:46:51.617492-04:00,Answer,2025-03-25T14:46:23.719306-04:00,01JQ7A13NTETHXTVHDETC0MDAE,2025-03-25T14:46:23.719306-04:00,true,2025-03-25T14:46:51.602891-04:00,true,2025-03-25T14:46:51.625205-04:00,,,01JQ7A13Q54KAZABFQZXX0V73C,2025-03-25T14:46:23.719306-04:00
01JQ7BVRT74JY6BW4A8FQ2ZDE1,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.863369-04:00,120,2025-03-25T15:18:25.863369-04:00,true,2025-03-25T15:20:26.165606-04:00,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.863369-04:00,0,2025-03-25T15:18:25.863369-04:00,true,2025-03-25T15:18:26.137509-04:00,Answer,2025-03-25T15:18:25.863369-04:00,01JQ7BVRRYNY53BSQZJSTJYJQT,2025-03-25T15:18:25.863369-04:00,true,2025-03-25T15:18:26.126877-04:00,true,2025-03-25T15:18:26.142695-04:00,,,01JQ7BVRSD86E5QH5P6TVFMH4T,2025-03-25T15:18:25.863369-04:00
01JQ7BVRVF3CAD667XK1W4470Y,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.90389-04:00,120,2025-03-25T15:18:25.90389-04:00,false,2025-03-25T15:18:25.90389-04:00,,,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.90389-04:00,0,2025-03-25T15:18:25.90389-04:00,,,Answer,2025-03-25T15:18:25.90389-04:00,01JQ7BVRS26M1RKDVNN4Q6WZG6,2025-03-25T15:18:25.90389-04:00,false,2025-03-25T15:18:25.90389-04:00,,,,,01JQ7BVRVE0GVM8FY1JDZ1PCHC,2025-03-25T15:18:25.90389-04:00
01JQ7CBAJA99FF9HZE5WCC6EFT,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.562154-04:00,120,2025-03-25T15:26:55.562154-04:00,true,2025-03-25T15:29:14.305287-04:00,,,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.562154-04:00,0,2025-03-25T15:26:55.562154-04:00,true,2025-03-25T15:28:56.07464-04:00,Answer,2025-03-25T15:26:55.562154-04:00,01JQ7CBAHEF77CKSAEEN0BNQJ5,2025-03-25T15:26:55.562154-04:00,true,2025-03-25T15:28:56.051403-04:00,true,2025-03-25T15:28:56.120036-04:00,,,01JQ7CBAJ7YN3Q2NTZ8N4KTSH9,2025-03-25T15:26:55.562154-04:00
